No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
203;5,361438;;5,361438;5,36165;0,000212;;-0,000138;0,000996;0,001134
204;5,36165;;5,36165;5,361724;7,4E-05;;0,000996;-0,00107;-0,002066
205;5,361724;;5,361724;5,362794;0,00107;;-0,00107;0,000361;0,001431
206;5,362794;;5,362794;5,362794;0;;0,000361;-3,7E-05;-0,000398
207;5,362794;;5,362794;5,363155;0,000361;;-3,7E-05;-0,000324;-0,000287
208;5,363155;;5,363155;5,363479;0,000324;;-0,000324;0;0,000324
209;5,363479;;5,363479;5,363479;0;;0;0;0
210;5,363479;;5,363479;5,363479;0;;0;0;0
211;5,363479;;5,363479;5,363479;0;;0;0;0
212;5,363479;;5,363479;5,363479;0;;0;0;0
213;5,363479;;5,363479;5,363479;0;;0;0,000411;0,000411
214;5,363479;;5,363479;5,363479;0;;0,000411;-0,000339;-0,00075
215;5,363479;;5,363479;5,36389;0,000411;;-0,000339;-1,1E-05;0,000328
216;5,36389;;5,36389;5,363962;7,2E-05;;-1,1E-05;2E-06;1,3E-05
217;5,363962;;5,363962;5,364023;6,1E-05;;2E-06;0,000128;0,000126
218;5,364023;;5,364023;5,364086;6,3E-05;;0,000128;-0,000191;-0,000319
219;5,364086;;5,364086;5,364277;0,000191;;-0,000191;0;0,000191
220;5,364277;;5,364277;5,364277;0;;0;0;0
221;5,364277;;5,364277;5,364277;0;;0;0;0
222;5,364277;;5,364277;5,364277;0;;0;0,000649;0,000649
223;5,364277;;5,364277;5,364277;0;;0,000649;-0,000552;-0,001201
224;5,364277;;5,364277;5,364926;0,000649;;-0,000552;-9,3E-05;0,000459
225;5,364926;;5,364926;5,365023;9,7E-05;;-9,3E-05;0,000695;0,000788
226;5,365023;;5,365023;5,365027;4E-06;;0,000695;-0,000699;-0,001394
227;5,365027;;5,365027;5,365726;0,000699;;-0,000699;0;0,000699
228;5,365726;;5,365726;5,365726;0;;0;0;0
229;5,365726;;5,365726;5,365726;0;;0;0;0
230;5,365726;;5,365726;5,365726;0;;0;0;0
231;5,365726;;5,365726;5,365726;0;;0;4E-05;4E-05
232;5,365726;;5,365726;5,365726;0;;4E-05;0,000664;0,000624
233;5,365726;;5,365726;5,365766;4E-05;;0,000664;-0,000704;-0,001368
234;5,365766;;5,365766;5,36647;0,000704;;-0,000704;0;0,000704
235;5,36647;;5,36647;5,36647;0;;0;0;0
236;5,36647;;5,36647;5,36647;0;;0;1E-05;1E-05
237;5,36647;;5,36647;5,36647;0;;1E-05;5,5E-05;4,5E-05
238;5,36647;;5,36647;5,36648;1E-05;;5,5E-05;-6E-06;-6,1E-05
239;5,36648;;5,36648;5,366545;6,5E-05;;-6E-06;1E-05;1,6E-05
240;5,366545;;5,366545;5,366604;5,9E-05;;1E-05;-5E-06;-1,5E-05
241;5,366604;;5,366604;5,366673;6,9E-05;;-5E-06;0,000168;0,000173
242;5,366673;;5,366673;5,366737;6,4E-05;;0,000168;-0,000185;-0,000353
243;5,366737;;5,366737;5,366969;0,000232;;-0,000185;-6E-06;0,000179
244;5,366969;;5,366969;5,367016;4,7E-05;;-6E-06;-5E-06;1E-06
245;5,367016;;5,367016;5,367057;4,1E-05;;-5E-06;-6E-06;-1E-06
246;5,367057;;5,367057;5,367093;3,6E-05;;-6E-06;-6E-06;-1,77636E-15
247;5,367093;;5,367093;5,367123;3E-05;;-6E-06;-3E-06;3E-06
248;5,367123;;5,367123;5,367147;2,4E-05;;-3E-06;-2E-06;1E-06
249;5,367147;;5,367147;5,367168;2,1E-05;;-2E-06;0,006734;0,006736
250;5,367168;;5,367168;5,367187;1,9E-05;;0,006734;-0,006055;-0,012789
251;5,367187;;5,367187;5,37394;0,006753;;-0,006055;-0,000698;0,005357
252;5,37394;;5,37394;5,374638;0,000698;;-0,000698;0,000206;0,000904
253;5,374638;;5,374638;5,374638;0;;0,000206;0,001985;0,001779
254;5,374638;;5,374638;5,374844;0,000206;;0,001985;-0,001939;-0,003924
255;5,374844;;5,374844;5,377035;0,002191;;-0,001939;0,000171;0,00211
256;5,377035;;5,377035;5,377287;0,000252;;0,000171;0,001964;0,001793
257;5,377287;;5,377287;5,37771;0,000423;;0,001964;-0,002205;-0,004169
258;5,37771;;5,37771;5,380097;0,002387;;-0,002205;0,000319;0,002524
259;5,380097;;5,380097;5,380279;0,000182;;0,000319;-0,000501;-0,00082
260;5,380279;;5,380279;5,38078;0,000501;;-0,000501;0;0,000501
261;5,38078;;5,38078;5,38078;0;;0;0,000164;0,000164
262;5,38078;;5,38078;5,38078;0;;0,000164;0,001024;0,00086
263;5,38078;;5,38078;5,380944;0,000164;;0,001024;-0,001011;-0,002035
264;5,380944;;5,380944;5,382132;0,001188;;-0,001011;0,000324;0,001335
265;5,382132;;5,382132;5,382309;0,000177;;0,000324;-0,000501;-0,000825
266;5,382309;;5,382309;5,38281;0,000501;;-0,000501;0;0,000501
267;5,38281;;5,38281;5,38281;0;;0;0;0
268;5,38281;;5,38281;5,38281;0;;0;0,000201;0,000201
269;5,38281;;5,38281;5,38281;0;;0,000201;-0,000146;-0,000347
270;5,38281;;5,38281;5,383011;0,000201;;-0,000146;0,000379;0,000525
271;5,383011;;5,383011;5,383066;5,5E-05;;0,000379;-0,000431;-0,00081
272;5,383066;;5,383066;5,3835;0,000434;;-0,000431;-3E-06;0,000428
273;5,3835;;5,3835;5,383503;3E-06;;-3E-06;0;3E-06
274;5,383503;;5,383503;5,383503;0;;0;0;0
275;5,383503;;5,383503;5,383503;0;;0;0;0
276;5,383503;;5,383503;5,383503;0;;0;0;0
277;5,383503;;5,383503;5,383503;0;;0;0;0
278;5,383503;;5,383503;5,383503;0;;0;0;0
279;5,383503;;5,383503;5,383503;0;;0;0;0
280;5,383503;;5,383503;5,383503;0;;0;0,000108;0,000108
281;5,383503;;5,383503;5,383503;0;;0,000108;0,001158;0,00105
282;5,383503;;5,383503;5,383611;0,000108;;0,001158;-0,001203;-0,002361
283;5,383611;;5,383611;5,384877;0,001266;;-0,001203;0,000577;0,00178
284;5,384877;;5,384877;5,38494;6,3E-05;;0,000577;-0,00064;-0,001217
285;5,38494;;5,38494;5,38558;0,00064;;-0,00064;0;0,00064
286;5,38558;;5,38558;5,38558;0;;0;0;0
287;5,38558;;5,38558;5,38558;0;;0;0;0
288;5,38558;;5,38558;5,38558;0;;0;0,000262;0,000262
289;5,38558;;5,38558;5,38558;0;;0,000262;-0,000172;-0,000434
290;5,38558;;5,38558;5,385842;0,000262;;-0,000172;-3E-05;0,000142
291;5,385842;;5,385842;5,385932;9E-05;;-3E-05;0,00026;0,00029
292;5,385932;;5,385932;5,385992;6E-05;;0,00026;-0,000318;-0,000578
293;5,385992;;5,385992;5,386312;0,00032;;-0,000318;-4E-06;0,000314
294;5,386312;;5,386312;5,386314;2E-06;;-4E-06;4E-06;8E-06
295;5,386314;;5,386314;5,386312;-2E-06;;4E-06;-2E-06;-6E-06
296;5,386312;;5,386312;5,386314;2E-06;;-2E-06;0;2E-06
297;5,386314;;5,386314;5,386314;0;;0;0;0
298;5,386314;;5,386314;5,386314;0;;0;7,5E-05;7,5E-05
299;5,386314;;5,386314;5,386314;0;;7,5E-05;0,00017;9,5E-05
300;5,386314;;5,386314;5,386389;7,5E-05;;0,00017;-0,000187;-0,000357
301;5,386389;;5,386389;5,386634;0,000245;;-0,000187;0,000298;0,000485
302;5,386634;;5,386634;5,386692;5,8E-05;;0,000298;-0,000353;-0,000651
303;5,386692;;5,386692;5,387048;0,000356;;-0,000353;-6E-06;0,000347
304;5,387048;;5,387048;5,387051;3E-06;;-6E-06;3E-06;9E-06
305;5,387051;;5,387051;5,387048;-3E-06;;3E-06;0;-3E-06
306;5,387048;;5,387048;5,387048;0;;0;6,6E-05;6,6E-05
307;5,387048;;5,387048;5,387048;0;;6,6E-05;0,000618;0,000552
308;5,387048;;5,387048;5,387114;6,6E-05;;0,000618;-0,000684;-0,001302
309;5,387114;;5,387114;5,387798;0,000684;;-0,000684;4,1E-05;0,000725
310;5,387798;;5,387798;5,387798;0;;4,1E-05;1,8E-05;-2,3E-05
311;5,387798;;5,387798;5,387839;4,1E-05;;1,8E-05;-1,7E-05;-3,5E-05
312;5,387839;;5,387839;5,387898;5,9E-05;;-1,7E-05;0,000522;0,000539
313;5,387898;;5,387898;5,38794;4,2E-05;;0,000522;-0,000564;-0,001086
314;5,38794;;5,38794;5,388504;0,000564;;-0,000564;0;0,000564
315;5,388504;;5,388504;5,388504;0;;0;0;0
316;5,388504;;5,388504;5,388504;0;;0;0,00061;0,00061
317;5,388504;;5,388504;5,388504;0;;0,00061;-0,00048;-0,00109
318;5,388504;;5,388504;5,389114;0,00061;;-0,00048;-1,2E-05;0,000468
319;5,389114;;5,389114;5,389244;0,00013;;-1,2E-05;0,000121;0,000133
320;5,389244;;5,389244;5,389362;0,000118;;0,000121;0,029619;0,029498
321;5,389362;;5,389362;5,389601;0,000239;;0,029619;0,014354;-0,015265
322;5,389601;;5,389601;5,419459;0,029858;;0,014354;-0,04414;-0,058494
323;5,419459;;5,419459;5,463671;0,044212;;-0,04414;0,151916;0,196056
324;5,463671;;5,463671;5,463743;7,2E-05;;0,151916;-0,124565;-0,276481
325;5,463743;;5,463743;5,615731;0,151988;;-0,124565;-0,027353;0,097212
326;5,615731;;5,615731;5,643154;0,027423;;-0,027353;0,226107;0,25346
327;5,643154;;5,643154;5,643224;7E-05;;0,226107;-0,226131;-0,452238
328;5,643224;;5,643224;5,869401;0,226177;;-0,226131;0,016707;0,242838
329;5,869401;;5,869401;5,869447;4,6E-05;;0,016707;-0,015761;-0,032468
330;5,869447;;5,869447;5,8862;0,016753;;-0,015761;-0,000992;0,014769
331;5,8862;;5,8862;5,887192;0,000992;;-0,000992;0,000289;0,001281
332;5,887192;;5,887192;5,887192;0;;0,000289;0,012359;0,01207
333;5,887192;;5,887192;5,887481;0,000289;;0,012359;-0,012511;-0,02487
334;5,887481;;5,887481;5,900129;0,012648;;-0,012511;0,000566;0,013077
335;5,900129;;5,900129;5,900266;0,000137;;0,000566;-0,000703;-0,001269
336;5,900266;;5,900266;5,900969;0,000703;;-0,000703;0;0,000703
337;5,900969;;5,900969;5,900969;0;;0;0,000125;0,000125
338;5,900969;;5,900969;5,900969;0;;0,000125;0,020974;0,020849
339;5,900969;;5,900969;5,901094;0,000125;;0,020974;-0,017379;-0,038353
340;5,901094;;5,901094;5,922193;0,021099;;-0,017379;-0,003639;0,01374
341;5,922193;;5,922193;5,925913;0,00372;;-0,003639;0,01654;0,020179
342;5,925913;;5,925913;5,925994;8,1E-05;;0,01654;-0,015914;-0,032454
343;5,925994;;5,925994;5,942615;0,016621;;-0,015914;-0,000707;0,015207
344;5,942615;;5,942615;5,943322;0,000707;;-0,000707;0,000185;0,000892
345;5,943322;;5,943322;5,943322;0;;0,000185;0,003512;0,003327
